Recipe / File Name,Description,Link
Inference Wan2.1-T2V-14B on Ironwood,Pretrain  model in FP8 precision using XPK orchestration on Ironwood GKE clusters.,inference/ironwood/MaxDiffusion/Wan2.x/Wan2.1-T2V/README.md
Inference Wan2.2-T2V-27B on Ironwood,Pretrain  model in FP8 precision using XPK orchestration on Ironwood GKE clusters.,inference/ironwood/MaxDiffusion/Wan2.x/Wan2.2-T2V/README.md
Inference on Trillium,Run inference workloads on Trillium GKE clusters with XPK.,inference/trillium/MaxDiffusion/Wan2.x/README.md
Inference Wan2.2-T2V-27B on Trillium,Run Wan2.2-T2V-27B text-to-video diffusion inference workload on Trillium GKE clusters with XPK.,inference/trillium/MaxDiffusion/Wan2.x/Wan2.2-T2V/README.md
Collectives Benchmark on TPU Trillium,Run Collectives network performance microbenchmarks on TPU Trillium (v6e-256) GKE clusters using XPK.,microbenchmarks/trillium/collectives/README.md
Instructions for training Llama 3.0 70B on Trillium TPU on multipod using XPK,Train the Llama 3.0 70B PyTorch model on Trillium TPU clusters using multipod configuration with XPK.,training/archive/trillium/Llama3.0-70B-PyTorch/XPK/README.md
Instructions for training Llama 3.0 8B on Trillium TPU on multipod using XPK,Train the Llama 3.0 8B PyTorch model on Trillium TPU clusters using multipod configuration with XPK.,training/archive/trillium/Llama3.0-8B-PyTorch/XPK/README.md
Instructions for training Llama 3.1 405B on Trillium TPU on multipod using XPK,Train the Llama 3.1 405B PyTorch model on Trillium TPU clusters using multipod configuration with XPK.,training/archive/trillium/Llama3.1-405B-PyTorch/XPK/README.md
Instructions for training Mixtral 8x7B on Trillium TPU on multipod using XPK,Train the Mixtral 8x7B PyTorch model on Trillium TPU clusters using multipod configuration with XPK.,training/archive/trillium/Mixtral-8x7B-Pytorch/XPK/README.md
Pretrain DeepSeek-V3 671B BF16 (4k) on 4x4x8,Pretrain DeepSeek-V3 671B model in BF16 precision on topology 4x4x8with 4k sequence length using XPK orchestration on Ironwood GKE clusters.,training/ironwood/deepseek3-671b/4k-bf16-tpu7x-4x4x8/k8s/README.md
Pretrain DeepSeek-V3 671B BF16 (4k) on 4x4x8,Pretrain DeepSeek-V3 671B model in BF16 precision on topology 4x4x8with 4k sequence length using XPK orchestration on Ironwood GKE clusters.,training/ironwood/deepseek3-671b/4k-bf16-tpu7x-4x4x8/xpk/README.md
Pretrain DeepSeek-V3 671B BF16 (4k) on 4x8x8 with GCS,Pretrain DeepSeek-V3 671B model in BF16 precision on topology 4x8x8with 4k sequence length using Google Cloud Storage (GCS) using XPK orchestration on Ironwood GKE clusters.,training/ironwood/deepseek3-671b/4k-bf16-tpu7x-4x8x8-gcs/xpk/README.md
Pretrain DeepSeek-V3 671B BF16 (4k) on 4x8x8 with Lustre,Pretrain DeepSeek-V3 671B model in BF16 precision on topology 4x8x8with 4k sequence length using Lustre using XPK orchestration on Ironwood GKE clusters.,training/ironwood/deepseek3-671b/4k-bf16-tpu7x-4x8x8-lustre/xpk/README.md
Pretrain DeepSeek-V3 671B BF16 (4k) on 4x8x8,Pretrain DeepSeek-V3 671B model in BF16 precision on topology 4x8x8with 4k sequence length using XPK orchestration on Ironwood GKE clusters.,training/ironwood/deepseek3-671b/4k-bf16-tpu7x-4x8x8/xpk/README.md
Pretrain DeepSeek-V3 671B FP8 (4k) on 4x4x8,Pretrain DeepSeek-V3 671B model in FP8 precision on topology 4x4x8with 4k sequence length using XPK orchestration on Ironwood GKE clusters.,training/ironwood/deepseek3-671b/4k-fp8-tpu7x-4x4x8/xpk/README.md
Pretrain DeepSeek-V3 671B FP8 (4k) on 4x8x8,Pretrain DeepSeek-V3 671B model in FP8 precision on topology 4x8x8with 4k sequence length using XPK orchestration on Ironwood GKE clusters.,training/ironwood/deepseek3-671b/4k-fp8-tpu7x-4x8x8/xpk/README.md
Pretrain Gemma4-26B BF16 (4k) on 4x4x4,Pretrain Gemma4-26B model in BF16 precision on topology 4x4x4with 4k sequence length using XPK orchestration on Ironwood GKE clusters.,training/ironwood/gemma4-26b/4k-bf16-tpu7x-4x4x4/xpk/README.md
Pretrain Gemma4-26B BF16 (4k) on 4x8x8,Pretrain Gemma4-26B model in BF16 precision on topology 4x8x8with 4k sequence length using XPK orchestration on Ironwood GKE clusters.,training/ironwood/gemma4-26b/4k-bf16-tpu7x-4x8x8/xpk/README.md
Pretrain Gemma4-2B BF16 (8k) on 4x4x4,Pretrain Gemma4-2B model in BF16 precision on topology 4x4x4with 8k sequence length using XPK orchestration on Ironwood GKE clusters.,training/ironwood/gemma4-2b/8k-bf16-tpu7x-4x4x4/xpk/README.md
Pretrain Gemma4-31B BF16 (8k) on 4x4x4,Pretrain Gemma4-31B model in BF16 precision on topology 4x4x4with 8k sequence length using XPK orchestration on Ironwood GKE clusters.,training/ironwood/gemma4-31b/8k-bf16-tpu7x-4x4x4/xpk/README.md
Pretrain Gemma4-4B BF16 (8k) on 4x4x4,Pretrain Gemma4-4B model in BF16 precision on topology 4x4x4with 8k sequence length using XPK orchestration on Ironwood GKE clusters.,training/ironwood/gemma4-4b/8k-bf16-tpu7x-4x4x4/xpk/README.md
Pretrain GPT-OSS-120B BF16 (8k) on 4x4x4,Pretrain GPT-OSS-120B model in BF16 precision on topology 4x4x4with 8k sequence length using XPK orchestration on Ironwood GKE clusters.,training/ironwood/gpt-oss-120b/8k-bf16-tpu7x-4x4x4/xpk/README.md
